"dataset"	"root_id"	"supervoxel_id"	"side"	"soma_division"	"class"	"type"	"synonyms"	"hemilineage"	"group"	"subclass"	"cell_id"
"FANC"	"648518346478502004"	"73256337462824739"	"L"	"brain"	"DN"	"DNfl027"	""	NA	"73256337462824739"	NA	"10242"
"FANC"	"648518346488405838"	"73537812439601217"	"R"	"brain"	"DN"	"DNfl027"	""	NA	"73256337462824739"	NA	"11099"
"FANC"	"648518346500605289"	"73608181049529468"	"R"	"brain"	"DN"	"DNfl029"	""	NA	"73608181049529468"	NA	"11296"
"FANC"	"648518346508933754"	"73608181049756992"	"R"	"brain"	"DN"	"DNfl029"	""	NA	"73608181049529468"	NA	"11279"
"FANC"	"648518346479051471"	"73115599840269015"	"L"	"brain"	"DN"	"DNfl029"	""	NA	"73608181049529468"	NA	"10056"
"FANC"	"648518346489575775"	"73185968584428802"	"L"	"brain"	"DN"	"DNfl029"	""	NA	"73608181049529468"	NA	"10140"
"FANC"	"648518346494467048"	"73115599907410719"	"L"	"brain"	"DN"	"DNfl030"	""	NA	"73115599907410719"	NA	"10035"
"FANC"	"648518346491877932"	"73608181183919117"	"R"	"brain"	"DN"	"DNfl030"	""	NA	"73115599907410719"	NA	"11282"
"FANC"	"648518346517511784"	"73608181116584524"	"R"	"brain"	"DN"	"DNfl031"	""	NA	"73608181116535648"	NA	"11287"
"FANC"	"648518346466906094"	"73115599907337331"	"L"	"brain"	"DN"	"DNfl031"	""	NA	"73608181116535648"	NA	"10049"
"FANC"	"648518346494041735"	"73608181183966175"	"R"	"brain"	"DN"	"DNfl032"	""	NA	"73185968718729719"	NA	"11192"
"FANC"	"648518346511779775"	"73185968718729719"	"L"	"brain"	"DN"	"DNfl032"	""	NA	"73185968718729719"	NA	"10135"
"FANC"	"648518346500979817"	"73185968718718274"	"L"	"brain"	"DN"	"DNfl033"	""	NA	"73185968718718274"	NA	"10154"
"FANC"	"648518346501670762"	"73608181183950264"	"R"	"brain"	"DN"	"DNfl033"	""	NA	"73185968718718274"	NA	"11199"
"FANC"	"648518346486581681"	"73608180915222468"	"R"	"brain"	"DN"	"DNfl034"	""	NA	"73608180915222468"	NA	"11197"
"FANC"	"648518346492462011"	"73185968584396360"	"L"	"brain"	"DN"	"DNfl034"	""	NA	"73608180915222468"	NA	"10109"
"FANC"	"648518346499774019"	"73467443426702730"	"R"	"brain"	"DN"	"DNfl035"	""	NA	"73467443426702730"	NA	"10819"
"FANC"	"648518346481256847"	"73326705938539196"	"L"	"brain"	"DN"	"DNfl035"	""	NA	"73467443426702730"	NA	"10543"
"FANC"	"648518346492944668"	"73185968651634220"	"L"	"brain"	"DN"	"DNfl036"	""	NA	"73185968651634220"	NA	"10072"
"FANC"	"648518346495568719"	"73608181116834279"	"R"	"brain"	"DN"	"DNfl036"	""	NA	"73185968651634220"	NA	"11253"
"FANC"	"648518346500413244"	"73115599974476186"	"L"	"brain"	"DN"	"DNfl037"	""	NA	"73185968718736519"	NA	"10063"
"FANC"	"648518346481850015"	"73185968718736519"	"L"	"brain"	"DN"	"DNfl037"	""	NA	"73185968718736519"	NA	"10084"
"FANC"	"648518346499625868"	"73608181183974452"	"R"	"brain"	"DN"	"DNfl037"	""	NA	"73185968718736519"	NA	"11307"
"FANC"	"648518346497090328"	"73678549927854509"	"R"	"brain"	"DN"	"DNfl037"	""	NA	"73185968718736519"	NA	"11328"
"FANC"	"648518346511555952"	"73608181183960802"	"R"	"brain"	"DN"	"DNfl038"	""	NA	"73185968718617326"	NA	"11165"
"FANC"	"648518346479292561"	"73185968718617326"	"L"	"brain"	"DN"	"DNfl038"	""	NA	"73185968718617326"	NA	"10228"
"FANC"	"648518346490893857"	"73537812439596268"	"R"	"brain"	"DN"	"DNfl039"	""	NA	"73537812439596268"	NA	"11077"
