"class"	"dataset"	"bodyid"	"cell_id"	"supervoxel_id"	"root_id"	"group"	"side"	"type"	"synonyms"	"soma_division"	"neuropil"	"neuropilgroup"	"cluster"	"hemilineage"	"manc_match_id"	"subclass"
"DN"	"FAFB"	NA	NA	"77972142230272669"	"720575940616826380"	"720575940616826380"	"R"	"DNb09"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80154260293395445"	"720575940632539788"	"720575940632539788"	"L"	"DNbe001"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79449404687270218"	"720575940632868051"	"720575940632539788"	"R"	"DNbe001"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79873128981262650"	"720575940622321110"	"720575940619116061"	"L"	"DNbe002"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80013729030605126"	"720575940619116061"	"720575940619116061"	"L"	"DNbe002"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78254579145538510"	"720575940621119061"	"720575940619116061"	"R"	"DNbe002"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79169166661336854"	"720575940653614838"	"720575940619116061"	"R"	"DNbe002"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80154397732019990"	"720575940628627867"	"720575940617917396"	"L"	"DNbe003"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79239329179972295"	"720575940617917396"	"720575940617917396"	"R"	"DNbe003"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80576404307336057"	"720575940653310198"	"720575940627731599"	"L"	"DNbe004"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79239535405982563"	"720575940627731599"	"720575940627731599"	"R"	"DNbe004"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80717485125006821"	"720575940625558730"	"720575940613358450"	"L"	"DNbe005"	""	"brain"	"multi"	"multi"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79169098008907830"	"720575940613358450"	"720575940613358450"	"R"	"DNbe005"	""	"brain"	"multi"	"multi"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80435735471524574"	"720575940608402524"	"720575940608402524"	"L"	"DNbe006"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79380547772145494"	"720575940624982823"	"720575940608402524"	"R"	"DNbe006"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80083960268522301"	"720575940629502251"	"720575940629502251"	"L"	"DNbe007"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79309835430454806"	"720575940644494752"	"720575940629502251"	"R"	"DNbe007"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79660579907942319"	"720575940615607207"	"720575940615607207"	"L"	"DNc01"	""	"brain"	"multi"	"multi"	"7"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79801454634129096"	"720575940632991815"	"720575940615607207"	"R"	"DNc01"	""	"brain"	"multi"	"multi"	"7"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"76987667140576300"	"720575940625733351"	"720575940618203707"	"L"	"DNc02"	""	"brain"	"multi"	"multi"	"7"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79731154810676920"	"720575940618203707"	"720575940618203707"	"R"	"DNc02"	""	"brain"	"multi"	"multi"	"7"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81561703963857039"	"720575940627771279"	"720575940621388453"	"L"	"DNd02"	"OA-VL1"	"brain"	"multi"	"multi"	"12"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888310428592406"	"720575940621388453"	"720575940621388453"	"R"	"DNd02"	"OA-VL1"	"brain"	"multi"	"multi"	"12"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81491266566812394"	"720575940614660263"	"720575940614660263"	"L"	"DNd03"	"OA-VL2"	"brain"	"multi"	"multi"	"15"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78677410555785933"	"720575940627482114"	"720575940614660263"	"R"	"DNd03"	"OA-VL2"	"brain"	"multi"	"multi"	"15"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81772947634850680"	"720575940619945931"	"720575940619945931"	"L"	"DNd04"	""	"brain"	"GNG_AVLP"	"AVLP_AMMC_WED"	"12"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77410085697086694"	"720575940629412170"	"720575940619945931"	"R"	"DNd04"	""	"brain"	"GNG_AVLP"	"AVLP_AMMC_WED"	"12"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79589180036205868"	"720575940629736720"	"720575940629736720"	"L"	"DNd05"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79377867645223697"	"720575940631333195"	"720575940629736720"	"R"	"DNd05"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81772947635109080"	"720575940620749807"	"720575940620749807"	"L"	"DNde001"	""	"brain"	"multi"	"multi"	"12"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77831748339585158"	"720575940645537902"	"720575940620749807"	"R"	"DNde001"	""	"brain"	"multi"	"multi"	"12"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81912997861474287"	"720575940639170723"	"720575940629812346"	"L"	"DNde002"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77901704766562931"	"720575940629812346"	"720575940629812346"	"R"	"DNde002"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"82053804069083127"	"720575940625718053"	"720575940623110123"	"L"	"DNde003"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77268523440740979"	"720575940623110123"	"720575940623110123"	"R"	"DNde003"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81912997861400596"	"720575940629064186"	"720575940621392086"	"L"	"DNde003"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77480110709645334"	"720575940621392086"	"720575940621392086"	"R"	"DNde003"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81772260373055915"	"720575940623385894"	"720575940623385894"	"L"	"DNde005"	""	"brain"	"multi"	"multi"	"15"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77479973203648575"	"720575940627368723"	"720575940623385894"	"R"	"DNde005"	""	"brain"	"multi"	"multi"	"15"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79803448035593766"	"720575940625006776"	"720575940613307033"	"L"	"DNde006"	""	"brain"	"GNG"	"GNG"	"10"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77831748339592603"	"720575940613307033"	"720575940613307033"	"R"	"DNde006"	""	"brain"	"GNG"	"GNG"	"10"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79589180103071269"	"720575940624459907"	"720575940623068841"	"L"	"DNde007"	""	"brain"	"multi"	"multi"	"1"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79801523353607669"	"720575940623068841"	"720575940623068841"	"R"	"DNde007"	""	"brain"	"multi"	"multi"	"1"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577160490217950"	"720575940624229925"	"720575940608838958"	"L"	"DNg01"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577160490217939"	"720575940612804862"	"720575940608838958"	"L"	"DNg01"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577160490219289"	"720575940621909739"	"720575940608838958"	"L"	"DNg01"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577160490212806"	"720575940622925972"	"720575940608838958"	"L"	"DNg01"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888379349556340"	"720575940608838958"	"720575940608838958"	"R"	"DNg01"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888310630048206"	"720575940637660733"	"720575940608838958"	"R"	"DNg01"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77691904539613716"	"720575940618182480"	"720575940608838958"	"R"	"DNg01"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78888310630038100"	"720575940634864026"	"720575940608838958"	"R"	"DNg01"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80577229209697744"	"720575940612804606"	"720575940610863310"	"L"	"DNg02_a"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
