class	supervoxel_id	root_id	group	side	type	synonyms	neuropil	neuropilgroup	confidence	SA subclass	xyz	x	y	z
AN	79944048085024532	720575940639151960	720575940621057285	R	AN_AVLP_31		AVLP	AVLP_AMMC_WED	5		(135254, 82576, 5798)	135254	82576	5798
AN	79451466875758656	720575940635668622	720575940624392171	L	AN_AVLP_32		AVLP	AVLP_AMMC_WED	5		(127993, 82971, 5799)	127993	82971	5799
AN	79944116804498608	720575940624392171	720575940624392171	R	AN_AVLP_32		AVLP	AVLP_AMMC_WED	5		(135719, 83611, 5798)	135719	83611	5798
AN	79521766900481327	720575940623685193	720575940623685193	L	AN_AVLP_33		AVLP	AVLP_AMMC_WED	5		(129467, 81951, 5798)	129467	81951	5798
AN	79944116804498367	720575940625147883	720575940623685193	R	AN_AVLP_33		AVLP	AVLP_AMMC_WED	5		(135401, 83585, 5798)	135401	83585	5798
AN	79451398156295324	720575940611255475	720575940607888585	L	AN_AVLP_34		AVLP	AVLP_AMMC_WED	5		(127999, 82453, 5798)	127999	82453	5798
AN	79451398156294073	720575940611710322	720575940607888585	L	AN_AVLP_34		AVLP	AVLP_AMMC_WED	5		(128176, 82461, 5798)	128176	82461	5798
AN	79451398156291493	720575940628552054	720575940607888585	L	AN_AVLP_34		AVLP	AVLP_AMMC_WED	5		(128713, 82061, 5798)	128713	82061	5798
AN	79944116804500174	720575940612267518	720575940607888585	R	AN_AVLP_34		AVLP	AVLP_AMMC_WED	5		(136093, 84039, 5798)	136093	84039	5798
AN	80014485548677144	720575940607888585	720575940607888585	R	AN_AVLP_34		AVLP	AVLP_AMMC_WED	5		(136189, 84290, 5798)	136189	84290	5798
AN	80014485548677191	720575940612685162	720575940607888585	R	AN_AVLP_34		AVLP	AVLP_AMMC_WED	5		(136272, 84307, 5798)	136272	84307	5798
AN	79451398156295360	720575940629630520	720575940629630520	L	AN_AVLP_35		AVLP	AVLP_AMMC_WED	5		(128764, 82410, 5798)	128764	82410	5798
AN	79944116804501011	720575940635634533	720575940629630520	R	AN_AVLP_35		AVLP	AVLP_AMMC_WED	5		(135988, 83625, 5798)	135988	83625	5798
AN	79451466875757648	720575940611603502	720575940611603502	L	AN_AVLP_36		AVLP	AVLP_AMMC_WED	5		(128191, 83141, 5798)	128191	83141	5798
AN	79944048085019962	720575940618855883	720575940611603502	R	AN_AVLP_36		AVLP	AVLP_AMMC_WED	5		(135343, 83366, 5798)	135343	83366	5798
AN	79451398156286481	720575940625065786	720575940622803859	L	AN_AVLP_37		AVLP	AVLP_AMMC_WED	5		(128209, 82365, 5798)	128209	82365	5798
AN	79944116804508659	720575940622803859	720575940622803859	R	AN_AVLP_37		AVLP	AVLP_AMMC_WED	5		(135285, 83936, 5798)	135285	83936	5798
AN	79451398156294123	720575940622886158	720575940622886158	L	AN_AVLP_38		AVLP	AVLP_AMMC_WED	5		(128108, 82485, 5798)	128108	82485	5798
AN	79944116804501378	720575940633908472	720575940622886158	R	AN_AVLP_38		AVLP	AVLP_AMMC_WED	5		(135750, 83814, 5798)	135750	83814	5798
AN	79451466875753975	720575940610148505	720575940610148505	L	AN_AVLP_39		AVLP	AVLP_AMMC_WED	5		(128048, 83186, 5799)	128048	83186	5799
AN	79944116804490995	720575940623748389	720575940610148505	R	AN_AVLP_39		AVLP	AVLP_AMMC_WED	5		(135831, 84077, 5798)	135831	84077	5798
AN	79381098131580419	720575940624871710	720575940616113291	L	AN_AVLP_4		AVLP	AVLP_AMMC_WED	5		(127304, 83418, 5799)	127304	83418	5799
AN	79944185523945416	720575940616113291	720575940616113291	R	AN_AVLP_4		AVLP	AVLP_AMMC_WED	5		(135803, 84889, 5798)	135803	84889	5798
AN	79451466875760780	720575940612422654	720575940612422654	L	AN_AVLP_40		AVLP	AVLP_AMMC_WED	5		(127998, 82629, 5799)	127998	82629	5799
AN	79944116804497529	720575940628321531	720575940612422654	R	AN_AVLP_40		AVLP	AVLP_AMMC_WED	5		(136061, 84190, 5798)	136061	84190	5798
AN	79521766900469816	720575940627137223	720575940602337504	L	AN_AVLP_41		AVLP	AVLP_AMMC_WED	5		(129852, 82320, 5798)	129852	82320	5798
AN	79592135644640306	720575940612669933	720575940602337504	L	AN_AVLP_41		AVLP	AVLP_AMMC_WED	5		(130123, 82248, 5798)	130123	82248	5798
AN	79873748060327677	720575940621163802	720575940602337504	R	AN_AVLP_41		AVLP	AVLP_AMMC_WED	5		(134441, 83863, 5798)	134441	83863	5798
AN	79873748060331560	720575940602337504	720575940602337504	R	AN_AVLP_41		AVLP	AVLP_AMMC_WED	5		(134557, 84361, 5798)	134557	84361	5798
AN	79381098131582267	720575940612335102	720575940609651758	L	AN_AVLP_42		AVLP	AVLP_AMMC_WED	5		(127839, 82630, 5799)	127839	82630	5799
AN	79451398156292873	720575940609651758	720575940609651758	L	AN_AVLP_42		AVLP	AVLP_AMMC_WED	5		(128298, 82380, 5798)	128298	82380	5798
AN	79944116804500063	720575940645109124	720575940609651758	R	AN_AVLP_42		AVLP	AVLP_AMMC_WED	5		(135869, 83864, 5798)	135869	83864	5798
AN	80014485548671478	720575940619154203	720575940609651758	R	AN_AVLP_42		AVLP	AVLP_AMMC_WED	5		(136234, 84089, 5798)	136234	84089	5798
AN	79521766900478174	720575940633209996	720575940607606852	L	AN_AVLP_43		AVLP	AVLP_AMMC_WED	5		(129217, 82451, 5798)	129217	82451	5798
AN	79521766900463193	720575940623234567	720575940607606852	L	AN_AVLP_43		AVLP	AVLP_AMMC_WED	5		(129351, 82463, 5798)	129351	82463	5798
AN	79592135644647849	720575940630151455	720575940607606852	L	AN_AVLP_43		AVLP	AVLP_AMMC_WED	5		(130322, 82005, 5798)	130322	82005	5798
AN	79944048085028275	720575940612522646	720575940607606852	R	AN_AVLP_43		AVLP	AVLP_AMMC_WED	5		(135483, 83456, 5798)	135483	83456	5798
AN	79944048085032158	720575940633430112	720575940607606852	R	AN_AVLP_43		AVLP	AVLP_AMMC_WED	5		(135543, 83285, 5798)	135543	83285	5798
AN	79944048085017327	720575940607606852	720575940607606852	R	AN_AVLP_43		AVLP	AVLP_AMMC_WED	5		(135720, 83101, 5798)	135720	83101	5798
AN	79451466875754027	720575940632118479	720575940623901415	L	AN_AVLP_44		AVLP	AVLP_AMMC_WED	5		(127970, 83326, 5798)	127970	83326	5798
AN	79944116804497658	720575940623901415	720575940623901415	R	AN_AVLP_44		AVLP	AVLP_AMMC_WED	5		(135367, 84215, 5798)	135367	84215	5798
AN	79451398156291571	720575940624180519	720575940623863614	L	AN_AVLP_45		AVLP	AVLP_AMMC_WED	5		(128641, 82179, 5798)	128641	82179	5798
AN	79451398156292655	720575940637629016	720575940623863614	L	AN_AVLP_45		AVLP	AVLP_AMMC_WED	5		(128924, 82001, 5798)	128924	82001	5798
AN	79521766900478004	720575940627546750	720575940623863614	L	AN_AVLP_45		AVLP	AVLP_AMMC_WED	5		(128944, 82100, 5798)	128944	82100	5798
AN	79944116804499606	720575940623863614	720575940623863614	R	AN_AVLP_45		AVLP	AVLP_AMMC_WED	5		(135536, 83602, 5798)	135536	83602	5798
AN	79944048085024087	720575940627410042	720575940623863614	R	AN_AVLP_45		AVLP	AVLP_AMMC_WED	5		(135660, 83406, 5798)	135660	83406	5798
AN	79944116804501322	720575940627631360	720575940623863614	R	AN_AVLP_45		AVLP	AVLP_AMMC_WED	5		(135834, 83758, 5798)	135834	83758	5798
AN	79521766900480287	720575940610039219	720575940610039219	L	AN_AVLP_46		AVLP	AVLP_AMMC_WED	5		(129319, 82258, 5798)	129319	82258	5798
AN	79521766900482623	720575940623368375	720575940610039219	L	AN_AVLP_46		AVLP	AVLP_AMMC_WED	5		(129337, 82327, 5798)	129337	82327	5798
AN	79944048085026702	720575940616824965	720575940610039219	R	AN_AVLP_46		AVLP	AVLP_AMMC_WED	5		(135812, 83215, 5798)	135812	83215	5798
AN	79944048085022583	720575940629412156	720575940610039219	R	AN_AVLP_46		AVLP	AVLP_AMMC_WED	5		(135848, 83290, 5798)	135848	83290	5798
AN	79944048085022774	720575940627067368	720575940610039219	R	AN_AVLP_46		AVLP	AVLP_AMMC_WED	5		(135864, 83427, 5798)	135864	83427	5798
AN	79592135644655853	720575940617076052	720575940617076052	L	AN_AVLP_47		AVLP	AVLP_AMMC_WED	5		(130136, 81656, 5798)	130136	81656	5798
AN	79944048085022331	720575940622867687	720575940617076052	R	AN_AVLP_47		AVLP	AVLP_AMMC_WED	5		(135094, 82877, 5798)	135094	82877	5798
AN	79521766900469777	720575940630193060	720575940603453542	L	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(129183, 82257, 5798)	129183	82257	5798
AN	79521766900489834	720575940629561400	720575940603453542	L	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(129244, 82332, 5798)	129244	82332	5798
AN	79521766900475832	720575940629810316	720575940603453542	L	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(129261, 82257, 5798)	129261	82257	5798
AN	79944048085026713	720575940610501315	720575940603453542	R	AN_AVLP_48		AVLP	AVLP_AMMC_WED	5		(135596, 83234, 5798)	135596	83234	5798
