class	supervoxel_id	root_id	side	type	entry_nerve	entry_side	long_tract	comment_KE	xyz
SA	73256337328675583	648518346479015119	L	DMT_DMetaN	DMetaN	L	DMT		(35307, 75200, 1466)
SA	73256337328708389	648518346459503620	L	DMT_DMetaN	DMetaN	L	DMT		(35464, 75200, 1479)
SA	73256337328732828	648518346493760398	L	DMT_DMetaN	DMetaN	L	DMT		(35413, 75200, 1485)
SA	73256337328703655	648518346500831081	L	DMT_DMetaN	DMetaN	L	DMT		(35263, 75200, 1478)
SA	73256337328831280	648518346484560797	L	DMT_DMetaN	DMetaN	L	DMT		(35282, 75200, 1519)
SA	73256337328812711	648518346479776406	L	DMT_DMetaN	DMetaN	L	DMT		(35181, 75200, 1518)
SA	73256337328774109	648518346488013847	L	DMT_DMetaN	DMetaN	L	DMT		(35302, 75200, 1505)
SA	73256337328746838	648518346491078945	L	DMT_DMetaN	DMetaN	L	DMT		(35341, 75200, 1493)
SA	73256337328776589	648518346509207930	L	DMT_DMetaN	DMetaN	L	DMT		(35344, 75200, 1507)
SA	73256337328794011	648518346479015631	L	DMT_DMetaN	DMetaN	L	DMT		(35310, 75200, 1511)
SA	73256337328796592	648518346481382031	L	DMT_DMetaN	DMetaN	L	DMT		(35245, 75200, 1512)
SA	73256337328889741	648518346517345061	L	DMT_DMetaN	DMetaN	L	DMT		(34955, 75200, 1539)
SA	73256337395572996	648518346494248443	L	DMT_DMetaN	DMetaN	L	DMT		(35030, 75200, 1552)
SA	73185968651711271	648518346490274314	L	DMT_ADMN	ADMN	L	DMT		(34492, 75200, 1654)
SA	73185968651751055	648518346486737148	L	DMT_ADMN	ADMN	L	DMT		(34556, 75200, 1665)
