xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract
(38323, 75200, 1625)	38323	75200	1625	73326706140037214	648518346483058340	L		DN	DNg79	MTD-I
(38264, 75200, 1615)	38264	75200	1615	73326706140018332	648518346486034558	L	R	doubleseed		
(38408, 75200, 1610)	38408	75200	1610	73326706139976527	648518346489682028	L	R	AN	ANXXX094	
(38486, 75200, 1615)	38486	75200	1615	73326706139998736	648518346476760080	L	R	AN	AN10B015	
(38464, 75200, 1627)	38464	75200	1627	73326706140023067	648518346486741892	L	R	AN	AN06B039	
(38342, 75200, 1637)	38342	75200	1637	73326706140063832	648518346472624331	L	L	AN	AN06B039	
(38547, 75200, 1600)	38547	75200	1600	73326706139961131	648518346493850123	L	R	doubleseed		
(38563, 75200, 1592)	38563	75200	1592	73326706139944033	648518346517252932	L	R	AN	AN00A006	
(38693, 75200, 1588)	38693	75200	1588	73326706139932039	648518346500632501	L	R	AN	AN00A006	
(38632, 75200, 1585)	38632	75200	1585	73326706139924915	648518346493958769	L	R	doubleseed		
(38672, 75200, 1580)	38672	75200	1580	73326706139920080	648518346481105408	L	L	AN	AN05B094	
(38535, 75200, 1574)	38535	75200	1574	73326706139890359	648518346503911630	L		DN	DNp59	MDA
(38563, 75200, 1584)	38563	75200	1584	73326706139929521	648518346489883609	L	R	AN	AN00A006	
(38422, 75200, 1588)	38422	75200	1588	73326706139922425	648518346496778754	L	R	AN	AN18B019	
(38323, 75200, 1600)	38323	75200	1600	73326706139971175	648518346488893929	L		DN	DNlt011	MDA
(38196, 75200, 1602)	38196	75200	1602	73326706139973770	648518346472424713	L		DN	DNp30	MTD-I
(38224, 75200, 1586)	38224	75200	1586	73326706139917857	648518346500612533	L	L	AN	AN04B003	
(38379, 75200, 1573)	38379	75200	1573	73326706139904577	648518346488502456	L		DN	DNxn185	MDA
(38124, 75200, 1663)	38124	75200	1663	73326706140101182	648518346504124396	L	R	AN	AN08B032	
(38166, 75200, 1652)	38166	75200	1652	73326706140116254	648518346481855677	L	R	AN	AN08B112	
