class	bodyid	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	predicted_nt	predicted_nt_prob	FANC_supervoxel_id	FANC_match	FANC_group	confidence_fanc_match_1_5
DN	12214	12214	L	DNg43	DNxl028			DLV	g	brain	xl	ACH	0.9624595898	73256337463005873	648518346496495445	73256337463005873	5
DN	13834	13834	R	DNg44	DNxl029			VLT	g	brain	xl	GLUT	0.9634571374	73537812506555080	648518346496730084	73537812506555080	4
DN	13845	13834	L	DNg44	DNxl029			VLT	g	brain	xl	GLUT	0.961484895	73185968718790856	648518346479273426	73537812506555080	4
DN	18010	18010	R	DNg45	DNxl030			DLV	g	brain	xl	ACH	0.9498013888	73467443695444376	648518346489441900	73256337462614176	5
DN	18189	18010	L	DNg45	DNxl030			DLV	g	brain	xl	ACH	0.9469905752	73256337462614176	648518346501089129	73256337462614176	5
DN	31648	31482	R	DNg46	DNxn053			DMT	g	brain	xn	GLUT	0.7694061573	73608181116689250	648518346496835244	73608181116689250	5
DN	31482	31482	L	DNg46	DNxn053			DMT	g	brain	xn	GLUT	0.756825276	73185968651553841	648518346509393283	73608181116689250	5
DN	24892	24316	L	DNg47	DNfl004			VLT	g	brain	fl	ACH	0.9851931718	73185968718711537	648518346497017752	73185968718711537	5
DN	24316	24316	R	DNg47	DNfl004			VLT	g	brain	fl	ACH	0.9792107473	73537812506568120	648518346511003701	73185968718711537	5
DN	14867	14867	L	DNg48	DNfl005			none	g	brain	fl	ACH	0.9720940897	73185968718485449	648518346495951933	73185968718485449	5
DN	15280	14867	R	DNg48	DNfl005			none	g	brain	fl	ACH	0.9688972073	73608181183952253	648518346481419663	73185968718485449	5
DN	14937	14937	R	DNg49	DNnt003			none	g	brain	nt	GABA	0.9095767402	73608181116658260	648518346493585777	73608181116658260	5
DN	15047	14937	L	DNg49	DNnt003			none	g	brain	nt	GABA	0.9221168935	73115599907365865	648518346492392633	73608181116658260	5
DN	14042	14042	L	DNg50	DNxn054			DLT	g	brain	xn	ACH	0.7647943088	73115599907471803	648518346492991152	73115599907471803	5
DN	14786	14042	R	DNg50	DNxn054			DLT	g	brain	xn	ACH	0.7580691412	73678549927760049	648518346500247356	73115599907471803	5
DN	25110	25110	L	DNg51	DNxn055			ITD	g	brain	xn	ACH	0.8988788757	73256337328654732	648518346493006834	73256337328654732	5
DN	25709	25110	R	DNg51	DNxn055			ITD	g	brain	xn	ACH	0.8832207216	73537812305325489	648518346488495544	73256337328654732	5
DN	25796	25110	R	DNg51	DNxn055			ITD	g	brain	xn	ACH	0.8764605692	73537812305451213	648518346490232412	73256337328654732	5
DN	25969	25110	L	DNg51	DNxn055			ITD	g	brain	xn	ACH	0.9298964296	73256337328635679	648518346499689868	73256337328654732	5
DN	26926	26926	L	DNg52	DNfl006			DLT	g	brain	fl	GABA	0.7826492471	73115599907520635	648518346480086950	73115599907520635	5
DN	28176	26926	R	DNg52	DNfl006			DLT	g	brain	fl	unk	0.6429778054	73608181183673294	648518346495579723	73115599907520635	5
DN	26574	26159	R	DNg52	DNxl031			DLT	g	brain	xl	unk	0.6644658722	73608181183699138	648518346517246506	73185968651684841	5
DN	26159	26159	L	DNg52	DNxl031			DLT	g	brain	xl	GABA	0.8000832317	73185968651684841	648518346510978178	73185968651684841	5
DN	33183	33183	R	DNg53	DNnt004			DMT	g	brain	nt	ACH	0.8908122042	73608181116553986	648518346487531732	73185968584520742	5
DN	37852	33183	L	DNg53	DNnt004			DMT	g	brain	nt	ACH	0.9293488853	73185968584520742	648518346497918874	73185968584520742	5
DN	19821	18614	R	DNg54	DNxl032			VLT	g	brain	xl	ACH	0.8907607503	73608181250711508	648518346511533424	73185968718734333	5
DN	18614	18614	L	DNg54	DNxl032			VLT	g	brain	xl	ACH	0.9293778159	73185968718734333	648518346494504936	73185968718734333	4
DN	14904	14904	L	DNg55	DNxn056			MDA	g	brain	xn	GABA	0.9406284717	73397074749803928	648518346481371329	73397074817169995	5
DN	17621	16837	R	DNg56	DNxn057			DLV	g	brain	xn	unk	0.6514898481	73467443762469014	648518346487846736	73256337463092499	5
DN	16837	16837	L	DNg56	DNxn057			DLV	g	brain	xn	GABA	0.7220571886	73256337463092499	648518346486157993	73256337463092499	5
DN	30559	29976	R	DNg57	DNxn058	bobber		VTV	g	brain	xn	ACH	0.9252720699	73397075018333916	648518346502749683	73397075018333916	4
DN	29976	29976	L	DNg57	DNxn058	bobber		VTV	g	brain	xn	ACH	0.8793726934	73326706207044828	648518346492546747	73397075018333916	4
DN	25415	22755	L	DNg59	DNxn059			CVL	g	brain	xn	unk	0.5911384678	73185968852591660	648518346490753453	73185968852591660	5
DN	22755	22755	R	DNg59	DNxn059			CVL	g	brain	xn	GABA	0.8133703809	73537812573502885	648518346490517757	73185968852591660	5
DN	31265	27993	R	DNg60	DNxn060	mesa;snail		none	g	brain	xn	GABA	0.7909529838	73537812372497514	648518346480280278	73326706072841352	4
DN	27993	27993	L	DNg60	DNxn060	mesa;snail		none	g	brain	xn	GABA	0.886511854	73326706072841352	648518346490522621	73326706072841352	4
DN	25018	25018	R	DNg61	DNfl007	sink		DLT	g	brain	fl	GABA	0.8614032783	73608181183937834	648518346485981026	73115599974234694	5
DN	24753	24753	L	DNg62	DNfl008	aDN1		none	g	brain	fl	ACH	0.9355455358	73185968718584090	648518346494476087	73185968718584090	5
DN	152849	24753	R	DNg62	DNfl008	aDN1		none	g	brain	fl	ACH	0.8759444067	73537812439674789	648518346491675759	73185968718584090	5
DN	18092	18092	L	DNg63	DNxl033			MTD-I	g	brain	xl	ACH	0.9718326817	73256337328877096	648518346481259407	73537812372495119	5
DN	153153	18092	R	DNg63	DNxl033			MTD-I	g	brain	xl	ACH	0.9665139999	73537812372495119	648518346496233301	73537812372495119	5
DN	17806	17806	L	DNg64	DNxl034			VLT	g	brain	xl	GLUT	0.9756941357	73185968718774286	648518346480200507	73608181183969878	4
DN	18099	17806	R	DNg64	DNxl034			VLT	g	brain	xl	GLUT	0.9636181728	73608181183969878	648518346487523563	73608181183969878	4
DN	20600	20600	R	DNg65	DNxl035			CVL	g	brain	xl	ACH	0.9476750455	73537812439667592	648518346502749427	73537812439667592	4
DN	24107	20600	L	DNg65	DNxl035			CVL	g	brain	xl	ACH	0.902072085	73185968718720470	648518346494022155	73537812439667592	4
DN	13020	12574	R	DNg66	DNad002			MDA	g	brain	ad	unk	0.5705164075	73397074951087586	648518346501190029	73397074884148993	5
DN	12574	12574	L	DNg66	DNad002			MDA	g	brain	ad	unk	0.5644061324	73397074884148993	648518346517737576	73397074884148993	5
DN	39006	37992	R	DNg67	DNxl036			CVL	g	brain	xl	ACH	0.9380823535	73467443829692549	648518346503854432	73185968785951319	5
DN	37992	37992	L	DNg67	DNxl036			CVL	g	brain	xl	ACH	0.8785679596	73185968785951319	648518346478524276	73185968785951319	5
DN	13553	13553	L	DNg68	DNxn061			DLV	g	brain	xn	ACH	0.8187397009	73256337463113859	648518346493623544	73256337463113859	5
DN	13704	13553	R	DNg68	DNxn061			DLV	g	brain	xn	ACH	0.8126106954	73537812439697440	648518346531204634	73256337463113859	5
DN	13268	13268	L	DNg69	DNxl037			MTD-I	g	brain	xl	ACH	0.8133816959	73185968584394041	648518346479825046	73185968584394041	5
DN	13801	13268	R	DNg69	DNxl037			MTD-I	g	brain	xl	ACH	0.8555514876	73608180915188092	648518346496199543	73185968584394041	5
DN	13169	13169	R	DNg70	DNxl038	DSOG1		VTV	g	brain	xl	GABA	0.8158260776	73397075018232237	648518346488062999	73397075018232237	5
DN	13244	13169	L	DNg70	DNxl038	DSOG1		VTV	g	brain	xl	GABA	0.7914283467	73397075018140109	648518346490034129	73397075018232237	5
DN	15546	15546	L	DNg71	DNxn062			MTD-I	g	brain	xn	GLUT	0.9657369706	73256337395614176	648518346500543413	73256337395614176	5
DN	16192	15546	R	DNg71	DNxn062			MTD-I	g	brain	xn	GLUT	0.9615505593	73537812305349177	648518346478552404	73256337395614176	5
