class	cell_id	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	soma_division	neuropil	hemilineage	manc_match_id	manc_group	manc_type	fanc_type	xyz
AN	13056	73678549860669743	648518346496526900	648518346475981282	L	AN19B032	AN19B032			T2	xn	19B	12754	12754	AN19B032		(47188, 75200, 1556)
AN	13213	73678549726479038	648518346472659465	648518346472659465	L	AN19B036	AN19B036			T3	mv	19B	14472	13932	AN19B036		(47534, 75200, 1416)
AN	13041	73678549793703073	648518346494738743	648518346472659465	L	AN19B036	AN19B036			T2	xl	19B	14334	13492	AN19B036		(47743, 75200, 1514)
AN	13043	73115599974466659	648518346495558223	648518346472659465	R	AN19B036	AN19B036			T2	xl	19B	13492	13492	AN19B036		(31727, 75200, 1741)
AN	13197	73115599907465835	648518346521658617	648518346472659465	R	AN19B036	AN19B036			T3	mv	19B	13932	13932	AN19B036		(30734, 75200, 1627)
AN	13200	73537812305459063	648518346477726445	648518346477726445	L	AN19B039	AN19B039			A1	ht	19B	101025	14629	AN19B039		(44736, 75200, 1490)
AN	13766	73185968584368242	648518346479623872	648518346477726445	R	AN19B039	AN19B039			A1	ht	19B	14629	14629	AN19B039		(34762, 75200, 1439)
AN	12587	73185968718649538	648518346487932372	648518346487932372	R	AN19B042	AN19B042			T1	xl	19B	17207	15569	AN19B042		(33628, 75200, 1713)
AN	12516	73608181183909675	648518346512151487	648518346487932372	L	AN19B042	AN19B042			T1	xl	19B	15569	15569	AN19B042		(46341, 75200, 1768)
AN	12512	73115599907491648	648518346475847650	648518346475847650	R	AN19B044	AN19B044			T1	fl	19B	14216	14216	AN19B044		(32624, 75200, 1649)
AN	12525	73115599907590718	648518346476707958	648518346475847650	R	AN19B044	AN19B044			T1	xn	19B	18022	17728	AN19B044		(32359, 75200, 1662)
AN	12548	73678549860724215	648518346490003251	648518346475847650	L	AN19B044	AN19B044			T1	fl	19B	18061	14216	AN19B044		(47186, 75200, 1572)
AN	12608	73608181116562452	648518346500030463	648518346475847650	L	AN19B044	AN19B044			T1	xn	19B	17728	17728	AN19B044		(47083, 75200, 1567)
AN	13065	73608181049519348	648518346467416327	648518346467416327	L	AN19B046	AN19B046			T3	ht	19B	16454	14996	AN19B046		(46430, 75200, 1456)
AN	13083	73185968584602704	648518346472489010	648518346467416327	R	AN19B046	AN19B046			T3	ht	19B	14996	14996	AN19B046		(33582, 75200, 1533)
AN	13182	73608181116562454	648518346484712451	648518346467416327	L	AN19B046	AN19B046			T3	ht	19B	17723	14846	AN19B046		(46198, 75200, 1563)
AN	13141	73185968584566142	648518346490474248	648518346467416327	R	AN19B046	AN19B046			T3	ht	19B	14846	14846	AN19B046		(33710, 75200, 1522)
AN	12500	73115599907450340	648518346479205330	648518346479205330	R	AN19B049	AN19B049			T1	xn	19B	16952	16952	AN19B049		(30919, 75200, 1624)
AN	12584	73608181116596506	648518346494446450	648518346479205330	L	AN19B049	AN19B049			T1	xn	19B	18711	16952	AN19B049		(46796, 75200, 1566)
AN	13413	73115599907503469	648518346466794350	648518346466794350	R	AN19B051	AN19B051			A2	xn	19B	17602	17602	AN19B051		(31136, 75200, 1648)
