dn_type	LM_stack_id	URL	slide_code_notes	VFB_IDs	synonyms	reference	notes
DNg84	R77C10-20181030_64_I3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181030_64_I3					
DNg85	R9B05-20181030_61_I1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181030_61_I1					
DNg86	VT028317-20171017_63_B1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171017_63_B1	blue channel neuron				
DNg87	VT028317-20171017_63_B3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171017_63_B3	green channel neuron				
DNg88	VT064565-20171208_63_G1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171208_63_G1					
DNg89	VT017181-20180223_61_J1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180223_61_J1					
DNg90	VT013875-20180824_61_H1	not online	(not online) sex not specified				
DNg91	VT041041-20171110_62_D3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171110_62_D3					
DNg92	SS01598-20140814_19_B2-f	not online	(not online)				
DNg93	SS93763-20220506_44_A4-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20220506_44_A4	red channel neuron		oval	https://elifesciences.org/articles/71679	
DNg94	SS49844-20180501_32_D3-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20180501_32_D3					
DNg95	SS72884-20200117_43_D1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20200117_43_D1					
DNg96	VT063191-20180626_62_F4-m	not online	(not online)				
DNg97	VT057295-20180117_63_B2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180117_63_B2	red/blue channel neuron				
DNg98	R46E07-20190312_63_A5-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190312_63_A5	red channel neuron	FBbt_00111297	DSOG1	https://www.cell.com/neuron/fulltext/S0896-6273(14)00392-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0896627314003924%3Fshowall%3Dtrue	
DNg99	R33C10-20190816_62_G3	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190816_62_G3					
DNg100	SS59517-20180831_48_E2	not online	(not online)				
DNg101	VT027955-20170303_28_A3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170303_28_A3					
